symbol,num_articles_query,num_articles_global,num_articles_expected,score
FOXI1,3,350,0.13703566963596064,21.89211033864095
KLHL20,2,234,0.09161813341375655,21.829739653915478
G3BP2,6,705,0.27602899169529216,21.73684714474988
MORC2,2,235,0.09200966389843072,21.73684714474988
SRGAP1,2,235,0.09200966389843072,21.73684714474988
TFE3,16,1881,0.7364688416721199,21.725291138824975
IRX2,3,353,0.13821026108998316,21.706058409417373
HNRNPF,5,589,0.23061145547308806,21.68149014862573
WNT8B,2,236,0.0924011943831049,21.644741860238227
KIRREL1,2,236,0.0924011943831049,21.644741860238227
MIR487A,2,236,0.0924011943831049,21.644741860238227
YES1,34,4013,1.5712118349974575,21.639348204155436
S1PR2,12,1419,0.5555817577526518,21.598981306622505
SOX21,3,355,0.13899332205933151,21.583770756406572
CEP63,2,237,0.09279272486777908,21.55341383551148
EPB41L2,2,237,0.09279272486777908,21.55341383551148
MIEF1,5,594,0.23256910789645893,21.498986022795545
MAGI1,5,594,0.23256910789645893,21.498986022795545
ZNFX1,2,240,0.0939673163218016,21.28399616256759
FBXO22,2,241,0.09435884680647577,21.19568082579345
CAPZA1,2,241,0.09435884680647577,21.19568082579345
MIR135B,15,1812,0.709453238229602,21.143042545596945
TCHP,3,363,0.1421255659367249,21.108095367835627
CHAC1,4,485,0.18989228506697406,21.064573521716376
PPP1CC,5,607,0.23765900419722316,21.038546453938313
VASN,2,243,0.09514190777582411,21.021230777844533
PCMT1,2,244,0.09553343826049827,20.935078192689435
NEK6,3,366,0.14330015739074742,20.935078192689435
HES3,3,367,0.1436916878754216,20.878034382900086
SDK1,2,245,0.09592496874517245,20.849628893943763
INF2,6,735,0.2877749062355174,20.849628893943763
MIR590,8,983,0.38487446643471235,20.785998286942917
ST18,2,247,0.0967080297145208,20.680805987919925
LANCL2,2,247,0.0967080297145208,20.680805987919925
MED11,2,248,0.09709956019919498,20.59741564119444
MIR367,6,745,0.2916902110822591,20.569768103421026
STRADA,5,623,0.24392349195200996,20.498230654158192
DPEP1,8,1000,0.3915304846741733,20.432636316064887
MBOAT2,2,250,0.09788262116854332,20.432636316064887
ECSIT,2,251,0.0982741516532175,20.351231390502875
NEK1,4,502,0.196548303306435,20.351231390502875
PIEZO1,12,1510,0.5912110318580017,20.297320843773065
PDHB,3,378,0.1479985232068375,20.27047253577866
C6orf47,3,378,0.1479985232068375,20.27047253577866
SMAD7,47,5983,2.342526889805579,20.06380383701842
ARHGEF7,9,1148,0.4494769964059509,20.023271651195994
DVL2,8,1023,0.40053568582167925,19.97325153085522
TNFAIP8,4,515,0.20163819960719925,19.837510986470765
AGRN,14,1804,0.7063209943522086,19.821016381991992
PTPA,76,9817,3.8436547680463593,19.772847611553065
MIR489,5,647,0.25332022358419015,19.737863520155415
DLG2,5,648,0.2537117540688643,19.70740385422925
AXIN1,42,5448,2.133058080504896,19.690040502815833
PIP5K1C,2,261,0.10218945649995922,19.571490724200086
TP53I3,4,523,0.20477044348459264,19.53406913581729
PIP5K1B,2,262,0.1025809869846334,19.496790377924512
GPER1,26,3439,1.346473336794482,19.309702828499823
FZD3,6,795,0.31126673531596777,19.27607199628763
OTUD5,2,265,0.10375557843865592,19.27607199628763
GHET1,2,265,0.10375557843865592,19.27607199628763
ZC3HC1,2,265,0.10375557843865592,19.27607199628763
ANGPT4,3,398,0.15582913290032097,19.25185582543802
CEP135,3,399,0.15622066338499516,19.203605560211358
NKD1,3,399,0.15622066338499516,19.203605560211358
CAB39,5,670,0.2623254247316961,19.06029507095605
SOCS5,5,674,0.2638915466703928,18.94717759279014
ACVR1C,5,677,0.2650661381244153,18.863216687652223
GDF6,5,677,0.2650661381244153,18.863216687652223
SS18,6,813,0.31831428404010287,18.849295494524807
NANS,3,408,0.1597444377470627,18.779996614030228
SSX4,2,272,0.10649629183137513,18.779996614030228
HTATIP2,3,408,0.1597444377470627,18.779996614030228
SETD7,10,1368,0.535613703034269,18.67017207242771
OIP5,4,551,0.21573329705546948,18.54141226503166
MCM10,5,691,0.27054756490985377,18.48103863609342
RAB31,3,415,0.1624851511397819,18.463225586805624
SKP2,40,5555,2.174951842365033,18.39121180563896
AGR2,9,1251,0.4898046363273908,18.374672946101516
PPP6C,4,558,0.2184740104481887,18.308813903283948
RAP2B,2,279,0.10923700522409435,18.308813903283948
ARHGEF1,3,421,0.16483433404782696,18.200091730461597
PDCD5,2,281,0.11002006619344269,18.17850206055595
SASS6,4,562,0.22004013238688538,18.17850206055595
NPHP3,2,281,0.11002006619344269,18.17850206055595
SEMA4F,2,281,0.11002006619344269,18.17850206055595
ZNF645,7,984,0.3852659969193865,18.169265016825992
RAD51AP1,3,422,0.16522586453250113,18.15696355100553
MAP1S,2,282,0.11041159667811687,18.11403928729157
MIR130A,18,2555,1.0003603883425127,17.99351534682818
RNF146,2,285,0.1115861881321394,17.9233651895306
PACSIN1,2,286,0.11197771861681355,17.860696080476302
MYOF,3,429,0.16796657792522035,17.8606960804763
ANKHD1,7,1003,0.39270507612819583,17.825081531960894
ILK,27,3874,1.5167890976277474,17.800760858729735
MIR1297,2,287,0.11236924910148773,17.798463689951994
MSRB3,2,287,0.11236924910148773,17.798463689951994
IRF2BP2,2,288,0.1127607795861619,17.736663468806327
DVL1,8,1152,0.4510431183446476,17.736663468806327
PAWR,4,578,0.22630462014167216,17.67529093085198
LAT2,7,1013,0.39662038097493757,17.649118239444004
PTPN9,2,290,0.11354384055551026,17.614341651780077
GPX2,8,1162,0.4549584231913894,17.584024368386306
AP2A1,4,581,0.2274792115956947,17.584024368386306
CDCA5,4,581,0.2274792115956947,17.584024368386306
LLGL1,6,872,0.3414145826358791,17.57394178560627
PGAM1,6,874,0.3421976436052275,17.533726815845153
PSMD9,3,437,0.17109882180261374,17.533726815845153
IKBKE,23,3351,1.3120186541431547,17.530238558247255
PKN2,3,440,0.17227341325663625,17.414178678464392
SLC9A3R2,3,440,0.17227341325663625,17.414178678464392
IRX1,2,294,0.11510996249420695,17.374690744953135
TNS3,2,294,0.11510996249420695,17.374690744953135
TRIM11,2,294,0.11510996249420695,17.374690744953135
MAGI3,2,294,0.11510996249420695,17.374690744953135
THOC1,5,735,0.2877749062355174,17.374690744953135
UCK2,2,296,0.1158930234635553,17.257294185865614
SKAP1,2,296,0.1158930234635553,17.257294185865614
CNKSR1,2,296,0.1158930234635553,17.257294185865614
