symbol,num_articles_query,num_articles_global,num_articles_expected,score
VPS39,25,341,1.509082646737881,16.566355761920278
UVRAG,87,1191,5.27072560781471,16.506266209534473
MIR3174,4,55,0.24340042689320662,16.433824915824918
THEM4,17,236,1.044409104487214,16.277146500313872
PIK3CG,618,8591,38.019146680718876,16.25496766642093
CAMKK1,37,516,2.283538550488993,16.202923306057997
AMBRA1,83,1161,5.137961738600234,16.15426587871248
AKAP14,2,28,0.12391294460017793,16.140363756613755
MIR6880,2,28,0.12391294460017793,16.140363756613755
C18orf25,2,28,0.12391294460017793,16.140363756613755
PIK3R5,47,660,2.92080512271848,16.091453563411896
IPMK,16,226,1.000154481415722,15.997528679121597
PIK3CA,2015,28562,126.40005441679578,15.94144883320755
ILKAP,5,71,0.31420782380759404,15.913034689619195
LAMTOR3,56,808,3.575773544176563,15.660947011367803
LINC00926,2,29,0.12833840690732712,15.583799489144319
MIR6731,2,29,0.12833840690732712,15.583799489144319
SCAMP4,2,29,0.12833840690732712,15.583799489144319
EEF2,216,3142,13.904802569062822,15.534201145767028
FBXW8,15,222,0.982452632187125,15.26791166166166
FBXW5,11,163,0.7213503560653215,15.249178027720971
SMCR8,11,163,0.7213503560653215,15.249178027720971
MRPS2,5,75,0.3319096730361909,15.064339506172837
TMEM55B,5,75,0.3319096730361909,15.064339506172837
SQSTM1,641,9628,42.608351093232606,15.0439992056348
PRKAG1,15,226,1.000154481415722,14.997683136676498
NUP62,559,8505,37.63855692230405,14.851791506085743
TFE3,122,1881,8.324294599747667,14.655896489259062
PI3,651,10041,44.43606702608523,14.65026145580896
TMEM214,2,31,0.13718933152162555,14.578393070489845
PRKAG3,9,140,0.6195647230008896,14.526327380952381
GAB3,5,79,0.3496115222647877,14.301588138771683
ATG3,141,2238,9.904184643399935,14.236406637871115
EIF2AK4,157,2497,11.050379380951581,14.207657003218678
MIR4730,2,32,0.14161479382877476,14.122818287037038
LINC00320,2,32,0.14161479382877476,14.122818287037038
ENO4,2,32,0.14161479382877476,14.122818287037038
MIR3177,2,32,0.14161479382877476,14.122818287037038
MIR6857,2,32,0.14161479382877476,14.122818287037038
MIR548M,3,48,0.21242219074316215,14.122818287037036
DUXAP10,6,96,0.4248443814863243,14.122818287037036
SLC43A1,12,192,0.8496887629726486,14.122818287037036
MRPL20,3,48,0.21242219074316215,14.122818287037036
BORCS5,3,48,0.21242219074316215,14.122818287037036
CCDC8,36,578,2.557917213532244,14.073950403690889
ZKSCAN3,12,193,0.8541142252797979,14.049643062751871
SLC38A1,39,630,2.7880412535040033,13.988315255731921
AKT1,11738,190281,842.081393266659,13.939270115523106
EIF2S2,158,2579,11.413267290137815,13.843538049488032
RPS6KA6,18,295,1.3055113806090175,13.78770056497175
MIR3129,2,33,0.14604025613592397,13.694854096520764
RPS6KC1,4,67,0.2965059745789972,13.490453289110004
ATP6V1G1,6,101,0.44697169302207035,13.42366886688669
WDR41,6,101,0.44697169302207035,13.42366886688669
EIF3D,21,356,1.5754645813451194,13.329401529338327
SLC7A5,177,3001,13.280812383754784,13.327497963641749
SLC25A30,2,34,0.1504657184430732,13.292064270152505
GABARAPL1,127,2175,9.625380518049534,13.194283567475523
PREX2,38,653,2.889826886568435,13.149576598037548
LARP1B,4,69,0.30535689919329556,13.0994256575416
PHLDA3,12,207,0.9160706975798868,13.0994256575416
RPAP3,6,104,0.460248079943518,13.036447649572649
MIR6778,3,52,0.230124039971759,13.036447649572649
EIF4E2,21,364,1.610868279802313,13.036447649572649
GAL,120,2085,9.227088910406106,13.005185185185185
ANGEL1,2,35,0.1548911807502224,12.912291005291005
PRR14,4,70,0.3097823615004448,12.912291005291005
MFSD10,2,35,0.1548911807502224,12.912291005291005
SLC2A4RG,34,595,2.633150072753781,12.912291005291005
SGK2,14,246,1.0886637275587059,12.85980201746462
CCDC28B,3,53,0.23454950227890822,12.790476939203353
MRPL41,6,106,0.46909900455781645,12.790476939203353
CTDSPL2,3,53,0.23454950227890822,12.790476939203353
LAMP2,216,3824,16.922967862538584,12.763718619246863
PTEN,3603,63829,282.472833603027,12.755208895817121
DRAM1,65,1154,5.10698350245019,12.727669860068039
NRBF2,11,196,0.8673906122012455,12.681714380196523
GABARAPL2,123,2199,9.731591613421116,12.639248016775301
DYRK4,5,90,0.398291607643429,12.553616255144034
C5orf30,4,72,0.31863328611474323,12.553616255144032
RAB12,12,217,0.9603253206513789,12.495765488991296
C20orf85,9,163,0.7213503560653215,12.476600204498977
EIF4E3,9,163,0.7213503560653215,12.476600204498977
ATG4B,65,1182,5.230896447050368,12.426168374381149
SART3,35,638,2.8234449519611973,12.396204139092069
OGFRP1,4,73,0.3230587484218924,12.381648909183156
MTMR7,3,55,0.24340042689320662,12.325368686868687
FBXO32,106,1950,8.629651498940962,12.283230674264008
RPS6KL1,2,37,0.16374210536452083,12.21432932932933
MTMR12,2,37,0.16374210536452083,12.21432932932933
MIR4260,2,37,0.16374210536452083,12.21432932932933
PIK3IP1,12,222,0.982452632187125,12.21432932932933
MIR4698,2,37,0.16374210536452083,12.21432932932933
EIF3F,19,352,1.5577627321165224,12.196979429713805
SLC38A10,3,56,0.24782588920035586,12.105272817460316
ZNF32,3,56,0.24782588920035586,12.105272817460316
LYPD1,21,395,1.7480576113239386,12.013334036568214
PHLPP1,90,1702,7.5321368467679575,11.94880043086565
IGF1R,1123,21291,94.22251798151386,11.918594663542411
RNF181,2,38,0.16816756767167004,11.892899610136451
RUFY4,2,38,0.16816756767167004,11.892899610136451
MIR1203,3,57,0.25225135150750505,11.892899610136451
COMMD5,3,57,0.25225135150750505,11.892899610136451
ATG9B,18,343,1.5179335713521795,11.858226433430515
ANXA6,87,1661,7.350692892174839,11.835618937721588
BCAT2,28,535,2.367622334324828,11.826210453444098
ATG4C,15,289,1.278958606766122,11.72829200307574
FKBP3,11,212,0.9381980091156329,11.724603860936407
TBC1D17,3,58,0.25667681381465424,11.687849616858239
POLR1D,19,369,1.6329955913380592,11.635058968182273
EIF4G3,19,370,1.637421053645208,11.603612862862864
KIAA1524,89,1734,7.673751640596732,11.59797764748601
MIR3911,2,39,0.17259302997881923,11.5879534662868
SLC4A1AP,2,39,0.17259302997881923,11.5879534662868
MRPS18C,2,39,0.17259302997881923,11.5879534662868
MIR548L,2,39,0.17259302997881923,11.5879534662868
SH3GLB1,21,413,1.8277159328526242,11.489750470809794
HIKESHI,3,59,0.2611022761218035,11.489750470809792
DYRK3,17,335,1.4825298728949858,11.466885295743504
BECN2,4,79,0.3496115222647877,11.441270511017347
RPS6KA3,81,1606,7.107292465281634,11.39674501867995
TBC1D4,50,992,4.3900586086920175,11.389369586320193
MIR4467,2,40,0.17701849228596844,11.29825462962963
CT45A2,2,40,0.17701849228596844,11.29825462962963
SWT1,2,40,0.17701849228596844,11.29825462962963
FAM89A,2,40,0.17701849228596844,11.29825462962963
NRBP2,3,60,0.2655277384289527,11.298254629629628
LARP6,30,603,2.6685537712109744,11.242044407591672
DIRC2,26,524,2.3189422489461866,11.21200841108284
ARHGAP33,3,61,0.2699532007361019,11.113037340619307
ARL8A,3,61,0.2699532007361019,11.113037340619307
IRS2,168,3418,15.126230165836004,11.106534685651129
BCKDK,13,265,1.1727475113945411,11.085080013976238
DCST1,5,102,0.45139715532921953,11.076720225127088
MTHFD2,34,694,3.071270841161553,11.07033594834027
EIF3L,7,143,0.6328411099223372,11.061228308728309
SLC43A2,13,266,1.1771729737016903,11.043406780840991
EIF3G,12,246,1.0886637275587059,11.022687443541104
RTL4,7,144,0.6372665722294865,10.98441422325103
SPAG5,25,515,2.2791130881818438,10.969179252067603
ATG10,46,949,4.1997637294846015,10.952997111969715
PRKAB2,14,289,1.278958606766122,10.946405869537358
GTF3C1,16,331,1.4648280236663889,10.922783931968223
C1orf43,5,104,0.460248079943518,10.863706374643874
EIF2S1,103,2154,9.532445809599402,10.805201734928986
TMA7,2,42,0.1858694169002669,10.76024250440917
HOXC-AS1,2,42,0.1858694169002669,10.76024250440917
RABGAP1,7,147,0.6505429591509341,10.76024250440917
C14orf28,2,42,0.1858694169002669,10.76024250440917
SLC1A5,130,2747,12.156744957738884,10.693651997465249
METAP2,21,447,1.9781816512956973,10.61580971911509
SLC3A2,107,2279,10.085628597993052,10.609155290657046
FBXO27,3,64,0.2832295876575495,10.592113715277778
RFNG,3,64,0.2832295876575495,10.592113715277778
TWF2,3,64,0.2832295876575495,10.592113715277778
PLD2,50,1068,4.726393744035358,10.578890102649467
PIH1D1,5,107,0.4735244668649656,10.559116476289374
LANCL1,5,107,0.4735244668649656,10.559116476289374
PRKCA,400,8580,37.970466595340234,10.534503151169817
MAPK15,17,365,1.6152937421094622,10.524401572805683
NIP7,4,86,0.38058975841483217,10.510004306632213
MIR3141,2,43,0.19029487920741608,10.510004306632213
CAB39L,6,129,0.5708846376222483,10.510004306632213
